"Relative Time (Process)","system/gpu.0.gpu","system/gpu.0.gpu__MIN","system/gpu.0.gpu__MAX","system/gpu.1.gpu","system/gpu.1.gpu__MIN","system/gpu.1.gpu__MAX","system/gpu.2.gpu","system/gpu.2.gpu__MIN","system/gpu.2.gpu__MAX","system/gpu.3.gpu","system/gpu.3.gpu__MIN","system/gpu.3.gpu__MAX","system/gpu.4.gpu","system/gpu.4.gpu__MIN","system/gpu.4.gpu__MAX","system/gpu.5.gpu","system/gpu.5.gpu__MIN","system/gpu.5.gpu__MAX","system/gpu.6.gpu","system/gpu.6.gpu__MIN","system/gpu.6.gpu__MAX","system/gpu.7.gpu","system/gpu.7.gpu__MIN","system/gpu.7.gpu__MAX"
"16.685908298","0","0","0","0","0","0","0","0","0","0","0","0","92","92","92","0","0","0","74","74","74","95","95","95"
"31.685567442","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100"
"46.686398988","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"61.69409643","100","100","100","99","99","99","99","99","99","99","99","99","100","100","100","98","98","98","100","100","100","100","100","100"
"76.707428375","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100"
"91.700717107","100","100","100","100","100","100","100","100","100","99","99","99","99","99","99","100","100","100","100","100","100","100","100","100"
"106.902018255","99","99","99","99","99","99","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100"
"121.692308984","99","99","99","100","100","100","99","99","99","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100"
"136.685339623","97","97","97","100","100","100","99","99","99","98","98","98","100","100","100","98","98","98","100","100","100","100","100","100"
"151.696512196","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"166.692462856","96","96","96","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100"
"181.696311191","97","97","97","93","93","93","99","99","99","100","100","100","100","100","100","99","99","99","99","99","99","100","100","100"
"196.702412345","99","99","99","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100"
"211.684382673","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100"
"226.700195152","98","98","98","99","99","99","99","99","99","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100"
"241.697056395","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100"
"256.682500413","97","97","97","98","98","98","98","98","98","100","100","100","100","100","100","97","97","97","100","100","100","100","100","100"
